Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-423.2157	-428.5291	5.31337	2.302164	12.10261	0.1363366
6	-421.3176	-427.112	5.794342	2.564378	7.404688	0.1319003
12	-424.2687	-429.3301	5.06147	1.758111	25.25362	0.303349
18	-418.5664	-426.2207	7.654358	1.830212	4.883761	0.3320953
24	-423.4388	-430.9889	7.55008	1.210196	8.273734	0.6247333
30	-419.9171	-427.1674	7.250346	1.52232	8.273734	0.4199826
36	-418.9415	-426.7748	7.833283	1.500666	5.602393	0.6325184
42	-417.9563	-425.8445	7.888125	1.490893	5.470233	0.4088668
48	-416.2439	-423.8077	7.563733	1.490893	6.878106	0.4310925
54	-414.6372	-422.0806	7.443368	1.560141	7.028388	0.388187
60	-415.9747	-423.8933	7.918593	1.678925	4.631892	0.3806602
66	-418.7434	-424.5463	5.802897	1.725519	17.94713	0.4889014
72	-427.6043	-433.9078	6.303501	1.695791	13.42723	0.6022638
78	-426.2368	-430.2603	4.02359	2.016674	40.36193	0.4300509
84	-429.1381	-434.88	5.741897	1.913866	15.81188	0.7416076
90	-428.4574	-433.4631	5.005771	2.208774	21.2759	0.5995796
96	-436.7167	-441.9137	5.196943	2.187661	19.47743	0.4666226
102	-421.5386	-429.0273	7.488712	1.751203	5.804588	0.3323854
108	-421.1636	-428.4757	7.312131	1.86998	6.11377	0.3509783
114	-424.2441	-429.7792	5.535132	1.628392	22.106	0.4797222
120	-428.3687	-427.9696	-0.3990369	2.484536	200.1361	0.1379086
126	-423.7625	-425.4151	1.652593	2.529911	76.33327	0.1327764
132	-433.5595	-434.9402	1.380698	2.356906	122.4893	0.6150087
138	-428.007	-431.1476	3.140557	1.986739	64.2217	0.5395992
144	-431.7019	-438.6635	6.961618	1.641921	8.866435	0.7229249
150	-427.9846	-432.6664	4.681801	2.981805	15.22431	0.2767552
156	-420.6987	-425.2111	4.512444	2.541602	15.14838	0.1060301
162	-419.8335	-423.6773	3.84379	2.422281	25.59157	0.1250682
168	-418.0666	-423.6391	5.572508	2.20613	12.48758	0.186822
174	-419.7702	-424.4742	4.704023	2.182817	21.1214	0.186822
180	-420.9131	-428.5928	7.679699	0.9011834	6.387197	1.257954
186	-418.7201	-426.7907	8.070523	1.222961	5.446885	0.7733538
192	-420.8359	-429.0273	8.191398	1.053742	5.235298	0.9032797
198	-421.1239	-427.4001	6.276227	1.188524	16.42886	0.9032797
204	-425.5611	-432.6674	7.106212	1.079948	10.596	0.9032797
210	-422.4129	-430.4143	8.001341	0.9165241	4.469344	1.394198
216	-417.7194	-425.9214	8.201949	0.8108982	5.224084	1.135214
222	-418.601	-425.0723	6.471304	1.749566	11.45177	0.3505917
228	-420.0887	-426.6253	6.536537	1.857738	10.63303	0.5276248
234	-422.4762	-430.2299	7.753706	0.9771075	8.244031	0.6967959
240	-418.8201	-425.4726	6.652587	1.519224	12.2213	0.5033921
246	-417.8237	-423.8722	6.048525	1.546989	17.25098	0.477172
252	-425.5182	-431.4363	5.918103	1.790849	16.11189	0.4565982
258	-425.2316	-431.0695	5.837906	1.791209	16.65743	0.6260074
264	-421.2058	-429.407	8.201184	1.497191	4.360903	0.4155611
270	-425.0825	-433.4815	8.398963	1.120392	4.389562	0.8700452
276	-422.0234	-429.9364	7.91302	0.9039951	7.026906	0.9045857
282	-421.0183	-428.2377	7.219351	1.069866	10.19229	0.855183
288	-420.4014	-427.2729	6.871453	1.485182	10.89706	0.5024833
294	-418.0522	-425.6783	7.626018	1.343325	5.964169	0.997663
